Temperatura,pH,O2  (mg/L),Amonio   (mg/L),TASA MORTALIDAD SI=1/NO=0
20.26,7.46,5.57,0.23,0
20.24,7.46,5.57,0.23,0
20.23,7.46,5.57,0.23,0
20.22,7.47,5.58,0.23,0
20.20,7.47,5.58,0.23,0
20.19,7.47,5.58,0.23,0
20.18,7.47,5.58,0.23,0
20.17,7.47,5.58,0.23,0
20.15,7.47,5.59,0.23,0
20.14,7.47,5.59,0.23,0
20.13,7.47,5.59,0.23,0
20.11,7.47,5.59,0.23,0
20.10,7.48,5.59,0.23,0
20.09,7.48,5.60,0.23,0
20.07,7.48,5.60,0.23,0
20.06,7.48,5.60,0.23,0
20.05,7.48,5.60,0.23,0
20.04,7.48,5.60,0.23,0
20.02,7.48,5.60,0.23,0
20.01,7.48,5.61,0.23,0
20.00,7.48,5.61,0.23,0
19.98,7.48,5.61,0.23,0
19.97,7.49,5.61,0.23,0
19.96,7.49,5.61,0.23,0
19.94,7.49,5.62,0.23,0
19.93,7.49,5.62,0.23,0
19.92,7.49,5.62,0.23,0
19.90,7.49,5.62,0.22,0
19.89,7.49,5.62,0.22,0
19.88,7.49,5.63,0.22,0
19.87,7.49,5.63,0.22,0
19.85,7.50,5.63,0.22,0
19.84,7.50,5.63,0.22,0
19.83,7.50,5.63,0.22,0
19.81,7.50,5.64,0.22,0
19.80,7.50,5.64,0.22,0
19.79,7.50,5.64,0.22,0
19.77,7.50,5.64,0.22,0
19.76,7.50,5.64,0.22,0
19.75,7.50,5.64,0.22,0
19.74,7.51,5.65,0.22,0
19.72,7.51,5.65,0.22,0
19.71,7.51,5.65,0.22,0
19.70,7.51,5.65,0.22,0
19.68,7.51,5.65,0.22,0
19.67,7.51,5.66,0.22,0
19.66,7.51,5.66,0.22,0
28.40,6.40,9.20,0.09,0
28.40,6.40,9.20,0.09,0
28.40,6.40,9.20,0.09,0
19.64,7.51,5.66,0.22,0
19.63,7.51,5.66,0.22,0
19.62,7.52,5.66,0.22,0
19.60,7.52,5.67,0.22,0
19.59,7.52,5.67,0.22,0
19.58,7.52,5.67,0.22,0
19.57,7.52,5.67,0.22,0
19.55,7.52,5.67,0.22,0
19.54,7.52,5.67,0.22,0
19.53,7.52,5.68,0.22,0
19.51,7.52,5.68,0.22,0
19.50,7.52,5.68,0.22,0
19.49,7.53,5.68,0.22,0
19.47,7.53,5.68,0.22,0
19.46,7.53,5.69,0.22,0
19.45,7.53,5.69,0.22,0
19.44,7.53,5.69,0.22,0
19.42,7.53,5.69,0.22,0
19.41,7.53,5.69,0.22,0
19.40,7.53,5.70,0.22,0
19.38,7.53,5.70,0.21,0
31.70,6.10,6.00,0.12,0
29.40,6.30,8.00,0.14,0
31.70,6.10,6.00,0.12,0
29.40,6.30,8.00,0.14,0
31.70,6.10,6.00,0.12,0
29.40,6.30,8.00,0.14,0
19.37,7.54,5.70,0.21,0
19.36,7.54,5.70,0.21,0
19.34,7.54,5.70,0.21,0
19.33,7.54,5.70,0.21,0
19.32,7.54,5.71,0.21,0
19.30,7.54,5.71,0.21,0
19.29,7.54,5.71,0.21,0
19.28,7.54,5.71,0.21,0
19.27,7.54,5.71,0.21,0
19.25,7.55,5.72,0.21,0
19.24,7.55,5.72,0.21,0
19.23,7.55,5.72,0.21,0
19.21,7.55,5.72,0.21,0
19.20,7.55,5.72,0.21,0
19.19,7.55,5.73,0.21,0
19.17,7.55,5.73,0.21,0
19.16,7.55,5.73,0.21,0
19.15,7.55,5.73,0.21,0
19.14,7.55,5.73,0.21,0
19.12,7.56,5.74,0.21,0
19.11,7.56,5.74,0.21,0
19.10,7.56,5.74,0.21,0
19.08,7.56,5.74,0.21,0
19.07,7.56,5.74,0.21,0
19.06,7.56,5.74,0.21,0
19.04,7.56,5.75,0.21,0
19.03,7.56,5.75,0.21,0
19.02,7.56,5.75,0.21,0
19.00,7.57,5.75,0.21,0
18.99,7.57,5.75,0.21,0
18.98,7.57,5.76,0.21,0
18.97,7.57,5.76,0.21,0
18.95,7.57,5.76,0.21,0
18.94,7.57,5.76,0.21,0
18.93,7.57,5.76,0.21,0
18.91,7.57,5.77,0.21,0
18.90,7.57,5.77,0.21,0
18.89,7.58,5.77,0.21,0
18.87,7.58,5.77,0.21,0
18.86,7.58,5.77,0.21,0
18.85,7.58,5.77,0.20,0
18.84,7.58,5.78,0.20,0
18.82,7.58,5.78,0.20,0
28.60,6.30,8.10,0.19,0
28.60,6.30,8.10,0.19,0
28.60,6.30,8.10,0.19,0
18.81,7.58,5.78,0.20,0
18.80,7.58,5.78,0.20,0
18.78,7.58,5.78,0.20,0
18.77,7.59,5.79,0.20,0
18.76,7.59,5.79,0.20,0
18.74,7.59,5.79,0.20,0
18.73,7.59,5.79,0.20,0
18.72,7.59,5.79,0.20,0
18.70,7.59,5.80,0.20,0
18.69,7.59,5.80,0.20,0
18.68,7.59,5.80,0.20,0
18.67,7.59,5.80,0.20,0
18.65,7.59,5.80,0.20,0
18.64,7.60,5.81,0.20,0
18.63,7.60,5.81,0.20,0
18.61,7.60,5.81,0.20,0
18.60,7.60,5.81,0.20,0
18.59,7.60,5.81,0.20,0
18.57,7.60,5.81,0.20,0
18.56,7.60,5.82,0.20,0
18.55,7.60,5.82,0.20,0
18.54,7.60,5.82,0.20,0
29.40,6.30,8.40,0.09,0
29.40,6.30,8.40,0.09,0
29.40,6.30,8.40,0.09,0
18.52,7.61,5.82,0.20,0
18.51,7.61,5.82,0.20,0
18.50,7.61,5.83,0.20,0
18.48,7.61,5.83,0.20,0
18.47,7.61,5.83,0.20,0
18.46,7.61,5.83,0.20,0
18.44,7.61,5.83,0.20,0
18.43,7.61,5.84,0.20,0
18.42,7.61,5.84,0.20,0
18.41,7.62,5.84,0.20,0
18.39,7.62,5.84,0.20,0
18.38,7.62,5.84,0.20,0
18.37,7.62,5.84,0.20,0
18.35,7.62,5.85,0.20,0
18.34,7.62,5.85,0.20,0
18.33,7.62,5.85,0.19,0
18.31,7.62,5.85,0.19,0
18.30,7.62,5.85,0.19,0
18.29,7.62,5.86,0.19,0
18.27,7.63,5.86,0.19,0
18.26,7.63,5.86,0.19,0
30.40,6.20,7.60,0.08,0
30.50,7.00,1.60,0.70,0
30.60,7.00,1.60,0.60,0
30.40,6.20,7.60,0.08,0
30.50,7.00,1.60,0.70,0
30.60,7.00,1.60,0.60,0
30.40,6.20,7.60,0.08,0
30.50,7.00,1.60,0.70,0
30.60,7.00,1.60,0.60,0
18.25,7.63,5.86,0.19,0
18.24,7.63,5.86,0.19,0
18.22,7.63,5.87,0.19,0
18.21,7.63,5.87,0.19,0
18.20,7.63,5.87,0.19,0
18.18,7.63,5.87,0.19,0
18.17,7.63,5.87,0.19,0
18.16,7.64,5.87,0.19,0
18.14,7.64,5.88,0.19,0
18.13,7.64,5.88,0.19,0
18.12,7.64,5.88,0.19,0
18.11,7.64,5.88,0.19,0
18.09,7.64,5.88,0.19,0
18.08,7.64,5.89,0.19,0
18.07,7.64,5.89,0.19,0
18.05,7.64,5.89,0.19,0
18.04,7.65,5.89,0.19,0
18.03,7.65,5.89,0.19,0
18.01,7.65,5.90,0.19,0
18.00,7.65,5.90,0.19,0
17.99,7.65,5.90,0.19,0
17.97,7.65,5.90,0.19,0
17.96,7.65,5.90,0.19,0
17.95,7.65,5.91,0.19,0
17.94,7.65,5.91,0.19,0
17.92,7.66,5.91,0.19,0
17.91,7.66,5.91,0.19,0
17.90,7.66,5.91,0.19,0
17.88,7.66,5.91,0.19,0
17.87,7.66,5.92,0.19,0
17.86,7.66,5.92,0.19,0
17.84,7.66,5.92,0.19,0
17.83,7.66,5.92,0.19,0
17.82,7.66,5.92,0.19,0
